skim_type,skim_variable,n_missing,complete_rate,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
numeric,total_steps,0,1,7637.9106382978725,5087.15074175341,0,3789.75,7405.5,10727,36019,▇▇▁▁▁
numeric,total_distance,0,1,5.489702121915415,3.924605908624871,0,2.61999988555908,5.24499988555908,7.71249997615814,28.0300006866455,▇▆▁▁▁
numeric,sedentary_minutes,0,1,991.2106382978724,301.2674367904797,0,729.75,1057.5,1229.5,1440,▁▁▇▅▇
numeric,calories,0,1,2303.609574468085,718.1668621342559,0,1828.5,2134,2793.25,4900,▁▆▇▃▁
numeric,very_active_minutes,0,1,21.164893617021278,32.84480305692357,0,0,4,32,210,▇▁▁▁▁
numeric,fairly_active_minutes,0,1,13.564893617021276,19.987403953867588,0,0,6,19,143,▇▁▁▁▁
numeric,lightly_active_minutes,0,1,192.8127659574468,109.17469975147063,0,127,199,264,518,▅▇▇▃▁
